JT,BATU,TT,TWI,PERM,CH,PH,Slope2,elev3,SUNGAI2,SAWAH
1,1,2,49,4,1,4,1,1,1,0
1,1,1,10,4,3,4,2,1,1,0
1,1,1,12,4,1,4,4,1,2,1
1,1,2,51,4,1,4,1,1,1,0
1,1,2,14,4,1,4,1,1,2,0
1,1,2,15,4,1,4,3,1,1,0
1,1,2,49,4,1,4,1,1,1,0
1,1,2,46,4,1,4,1,1,1,0
1,1,2,52,4,1,4,1,1,1,0
1,1,2,11,4,1,4,4,1,6,1
1,1,2,15,4,1,4,1,1,3,0
1,1,2,14,4,1,4,3,1,5,1
1,1,1,13,4,1,4,2,1,2,1
1,1,1,12,4,1,4,2,1,3,1
1,1,2,56,4,1,4,1,1,1,0
1,1,2,37,4,1,4,1,1,3,0
1,1,1,16,4,1,4,2,1,1,1
1,1,1,17,4,1,4,1,1,2,1
1,1,2,14,4,1,4,1,1,1,0
1,1,1,15,4,1,4,2,1,2,1
1,1,2,43,4,3,4,1,1,1,0
1,1,1,46,4,1,4,2,1,3,1
1,1,1,43,4,3,4,1,1,2,1
1,1,2,44,4,1,4,1,1,2,0
1,1,1,14,4,1,4,1,1,3,1
1,1,1,18,4,1,4,2,1,1,1
1,1,1,28,4,1,4,4,1,3,1
1,1,1,50,4,3,4,1,1,1,0
1,1,1,14,4,3,4,1,1,1,0
1,1,1,43,4,1,4,1,1,3,1
1,1,1,44,4,3,4,1,1,2,0
1,1,2,12,4,1,4,1,1,2,0
1,1,1,13,4,1,4,4,1,2,1
1,1,1,9,4,3,4,1,1,1,1
1,1,1,27,4,1,4,2,1,2,1
1,1,1,19,4,1,4,1,1,3,1
1,1,1,10,4,1,4,3,1,4,1
1,1,1,14,4,3,4,1,1,2,0
1,1,1,12,4,1,4,1,1,2,1
1,1,1,18,4,1,4,2,1,1,0
1,1,1,10,4,1,4,2,1,2,1
1,1,1,17,4,3,4,1,1,1,0
1,1,1,14,4,3,4,1,1,1,1
1,1,1,14,4,1,4,2,1,1,1
1,1,1,12,4,1,4,4,1,1,1
1,1,1,43,4,3,4,1,1,1,0
1,1,1,19,4,3,4,1,1,2,0
1,1,1,41,4,1,4,1,1,2,1
1,1,1,41,4,1,4,2,1,2,1
1,1,1,14,4,1,4,3,1,5,1
1,1,1,19,4,3,4,1,1,1,0
1,1,1,11,4,1,4,4,1,1,0
1,1,1,14,4,1,4,1,1,2,1
1,1,2,10,4,1,4,4,1,2,0
1,1,1,14,4,1,4,1,1,4,0
1,1,1,18,4,3,4,1,1,1,0
1,1,1,16,4,1,4,1,1,3,1
1,1,1,9,4,1,4,1,1,1,1
1,1,1,15,4,1,4,2,1,3,1
1,1,1,14,4,1,4,4,1,2,1
1,1,1,14,4,3,4,2,1,5,1
1,1,2,14,4,1,4,1,1,6,0
1,1,1,14,4,1,4,1,1,2,1
1,1,1,13,4,1,4,2,1,1,0
1,1,1,53,4,3,4,1,1,3,0
1,1,1,14,4,1,4,2,1,5,0
1,1,1,11,4,1,4,5,1,2,1
1,1,1,41,4,1,4,4,1,2,1
1,1,1,16,4,3,4,2,1,1,0
1,1,1,55,4,1,4,1,1,3,1
1,1,2,18,4,1,4,1,1,1,1
3,1,1,14,4,1,6,4,1,3,1
1,1,1,14,4,1,4,2,1,4,1
1,1,1,13,4,1,4,1,1,1,0
1,1,1,68,4,1,4,2,1,2,1
1,1,2,12,4,1,4,3,1,1,0
1,1,1,38,4,1,4,1,1,1,1
1,1,1,12,4,1,4,2,1,1,1
1,1,1,14,4,1,4,1,1,2,1
1,1,1,13,4,1,4,1,1,2,1
3,1,1,44,4,1,6,2,1,2,1
3,1,1,46,4,1,6,2,1,4,1
3,1,1,11,4,1,6,2,1,2,0
1,1,1,15,4,1,4,1,1,1,0
1,1,2,22,4,1,4,1,1,5,1
3,1,1,12,4,1,6,2,1,2,1
1,1,2,29,4,1,4,2,1,1,1
1,1,1,32,4,1,4,2,1,1,1
1,1,1,14,4,1,4,3,1,2,1
3,1,1,33,4,1,6,1,1,4,1
1,1,2,15,4,1,4,2,1,6,1
3,1,1,14,4,1,6,1,1,5,0
3,1,1,43,4,1,6,3,1,2,1
3,1,2,10,4,1,6,3,1,1,0
1,1,1,63,4,1,4,6,1,1,0
1,1,2,12,4,1,4,1,1,7,0
3,1,1,13,4,1,6,3,1,5,1
3,1,1,14,4,1,6,1,1,1,1
1,1,2,15,4,1,4,3,1,4,1
1,1,1,22,4,1,4,1,1,2,0
1,1,1,12,4,1,4,1,1,2,1
3,1,1,15,4,1,6,1,1,5,1
1,1,1,54,4,1,4,2,1,4,1
3,1,1,48,4,1,6,2,1,1,1
1,1,2,13,4,1,4,2,1,5,1
3,1,1,19,4,1,6,2,1,1,1
1,1,2,11,4,1,4,3,1,1,1
1,1,1,14,4,1,4,1,1,1,0
1,1,1,47,4,1,4,3,1,3,1
1,1,1,15,4,1,4,1,1,3,1
1,1,2,13,4,1,4,2,1,8,0
1,1,1,32,4,1,4,1,1,2,1
1,1,1,11,4,1,4,1,1,1,1
3,1,1,48,4,1,6,3,1,2,1
1,1,2,50,4,1,4,1,1,2,1
1,1,1,14,4,1,4,1,1,2,1
1,1,1,35,4,1,4,1,1,1,1
1,1,1,40,4,1,4,1,1,2,1
1,1,1,14,4,1,4,1,1,3,0
3,5,1,12,4,1,6,4,1,2,1
3,1,1,45,4,1,6,2,1,1,1
1,1,1,48,4,1,4,1,1,1,1
1,1,2,17,4,1,4,1,1,3,1
1,1,1,32,4,1,4,1,1,2,1
1,1,1,15,4,1,4,4,1,2,1
1,1,1,14,4,1,4,3,1,7,0
1,1,2,14,4,1,4,2,1,3,1
1,1,1,43,4,1,4,1,1,1,1
1,1,2,12,4,1,4,1,1,2,0
1,1,1,14,4,1,4,1,1,3,0
1,1,1,44,4,1,4,3,1,3,1
3,5,1,45,4,1,6,2,1,2,1
1,1,2,20,4,1,4,2,1,4,1
7,5,1,54,4,1,2,4,1,3,1
1,1,1,19,4,1,4,2,1,2,1
7,5,1,21,4,1,2,2,1,8,1
1,1,2,35,4,1,4,1,1,2,1
3,5,1,14,4,1,6,2,1,3,1
7,5,1,18,4,1,2,1,1,2,1
3,1,1,13,4,1,6,1,1,1,0
1,1,1,11,4,1,4,3,1,3,1
3,1,1,18,4,1,6,3,1,1,0
3,1,1,14,4,1,6,4,1,1,1
3,1,1,25,4,1,6,2,1,2,1
3,5,1,12,4,1,6,2,1,1,0
7,5,1,13,4,1,2,4,1,6,1
3,1,1,14,4,1,6,1,1,1,1
1,1,1,17,4,1,4,1,1,2,1
1,1,1,15,4,1,4,1,1,2,1
3,1,1,47,4,1,6,2,1,1,1
1,1,1,13,4,1,4,1,1,2,1
1,1,1,34,4,1,4,1,1,2,1
7,5,1,13,4,1,2,1,1,6,1
1,1,1,43,4,1,4,1,1,1,1
1,1,1,32,4,1,4,1,1,2,0
7,5,2,15,4,1,2,2,1,5,1
7,5,1,44,4,1,2,2,1,6,0
1,1,1,19,4,1,4,1,1,2,1
1,1,1,51,4,1,4,1,1,7,1
3,5,1,32,4,1,6,1,1,1,1
1,1,1,15,4,1,4,1,1,1,1
1,1,1,14,4,1,4,1,1,1,1
7,5,2,43,4,1,2,2,1,1,1
7,5,2,29,4,1,2,2,1,5,0
7,1,1,10,4,1,2,1,1,1,1
7,5,2,11,4,1,2,1,1,1,0
1,1,1,19,4,1,4,1,1,2,1
7,5,2,14,4,1,2,2,1,1,0
3,5,1,14,4,1,6,2,1,6,0
3,5,2,13,4,1,6,2,1,3,1
1,1,1,12,4,1,4,1,1,1,0
3,5,2,15,4,1,6,1,1,1,0
1,1,1,43,4,1,4,1,1,1,0
1,1,1,14,4,1,4,1,1,1,0
1,1,1,14,4,1,4,1,1,1,1
1,1,1,51,4,1,4,1,1,2,1
7,1,1,42,4,1,2,2,1,1,1
1,1,1,46,4,1,4,4,1,1,1
1,1,1,14,4,1,4,1,1,4,0
