Elevasi;CH;Jenis_Tana;Sawahkah
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Ya"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Ya"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Ya"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
"""100 m DPL""";"""1500 - 2000 mm""";"""Alluvial""";"""Bukan"""
