Source;Destination;Length;Source Address;Destination Address;Source.1;Destination.1;Address_Resolution_Protocol;Internet_Control_Message_Protocol;Transmission_Control_Protocol;Info;label
10.0.123.3;10.0.123.2;204;10.0.0.19;10.0.0.12;0e:cd:eb:a0:85:4b;ae:7e:98:19:a6:4e;0;1;0;1;0
10.0.123.3;10.0.123.2;204;10.0.0.23;10.0.0.46;26:ed:57:4a:6a:84;1a:19:72:67:07:59;0;1;0;1;0
10.0.123.3;10.0.123.2;902;10.0.0.31;10.0.0.46;4a:7b:6b:b9:77:79;33:33:00:00:00:02;0;1;0;1;0
10.0.123.3;10.0.123.2;204;10.0.0.45;10.0.0.50;a6:ed:bf:be:a9:4b;32:f9:2c:60:94:4b;0;1;0;1;0
10.0.123.3;10.0.123.2;550;10.0.0.35;10.0.0.8;12:1e:67:d0:d7:dc;4a:20:1e:fb:1b:38;0;1;0;1;0
10.0.123.2;10.0.123.3;206;10.0.0.59;10.0.0.3;56:cf:f2:cd:c2:ed;06:ab:2b:87:45:6e;0;1;0;2;0
10.0.123.2;10.0.123.3;206;10.0.0.19;10.0.0.12;0e:cd:eb:a0:85:4b;ae:7e:98:19:a6:4e;0;1;0;2;0
10.0.123.2;10.0.123.3;206;10.0.0.31;10.0.0.46;c6:45:25:1c:91:85;1a:19:72:67:07:59;0;1;0;2;0
10.0.123.2;10.0.123.3;206;10.0.0.33;10.0.0.1;f6:85:17:79:0d:63;36:02:49:67:eb:8e;0;1;0;2;0
10.0.123.3;10.0.123.2;308;10.0.0.59;10.0.0.3;56:cf:f2:cd:c2:ed;06:ab:2b:87:45:6e;0;1;0;1;0
10.0.123.3;10.0.123.2;204;10.0.0.33;10.0.0.1;f6:85:17:79:0d:63;36:02:49:67:eb:8e;0;1;0;1;0
10.0.123.3;10.0.123.2;204;10.0.0.19;10.0.0.12;0e:cd:eb:a0:85:4b;ae:7e:98:19:a6:4e;0;1;0;1;0
10.0.123.3;10.0.123.2;308;10.0.0.31;10.0.0.46;c6:45:25:1c:91:85;1a:19:72:67:07:59;0;1;0;1;0
10.0.123.2;10.0.123.3;150;65.237.101.66;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;96.63.187.23;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;146.254.208.123;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;238.234.123.145;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;196.31.107.169;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;111.158.121.124;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;197.0.252.213;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;23.85.3.149;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;2838;3.82.84.3;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;2922;254.192.250.63;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;29.54.84.95;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;66.179.1.254;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;239.28.157.118;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;146.215.31.215;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;10.250.186.45;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;129.162.156.129;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;185.162.196.145;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;109.117.24.208;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;3.119.221.39;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;68.72.96.51;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;50.121.146.191;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;185.47.71.96;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;49.32.233.227;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;68.233.28.221;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;486;238.197.246.5;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.3;10.0.123.2;148;65.237.101.66;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;1;1
10.0.123.3;10.0.123.2;148;96.63.187.23;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;146.254.208.123;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;238.234.123.145;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;196.31.107.169;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;111.158.121.124;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;197.0.252.213;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;23.85.3.149;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;3.82.84.3;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;187.105.157.149;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;105.129.196.137;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
